Team ID , Team  , Region , Country , Track , Section , Size , Status , Year
3013,Aachen,Europe,Germany,Environment,Overgrad,13,Accepted,2019
3016,Aalto-Helsinki,Europe,Finland,Manufacturing,Overgrad,13,Accepted,2019
2941,Aboa,Europe,Finland,Diagnostics,Overgrad,16,Accepted,2019
3272,ACIBADEM_ISTANBUL,Asia,Turkey,High School,High_school,18,Accepted,2019
3244,AFCM-Egypt,Africa,Egypt,Therapeutics,Undergrad,29,Accepted,2019
2949,AHUT_China,Asia,China,Environment,Undergrad,36,Accepted,2019
2915,Aix-Marseille,Europe,France,Diagnostics,Overgrad,20,Accepted,2019
3085,Alabama,North America,United States,Therapeutics,Undergrad,7,Accepted,2019
2905,Alma,North America,United States,Therapeutics,Undergrad,14,Accepted,2019
3320,Amazonas-Brazil,Latin America,Brazil,Therapeutics,Undergrad,23,Accepted,2019
2928,ASIJ_Tokyo,Asia,Japan,High School,High_school,27,Accepted,2019
3152,ASTWS-China,Asia,China,High School,High_school,23,Accepted,2019
3201,Athens,Europe,Greece,New Application,Undergrad,20,Accepted,2019
2975,Auburn_Alabama,North America,United States,High School,High_school,12,Accepted,2019
3174,Austin_UTexas,North America,United States,Foundational Advance,Undergrad,16,Accepted,2019
3301,Baltimore_BioCrew,North America,United States,High School,High_school,15,Accepted,2019
3143,BEAS_China,Asia,China,High School,High_school,20,Accepted,2019
2938,BGU_Israel,Asia,Israel,New Application,Overgrad,13,Accepted,2019
3202,BHSF_ND,Asia,China,High School,High_school,15,Accepted,2019
2926,Bielefeld-CeBiTec,Europe,Germany,Foundational Advance,Overgrad,15,Accepted,2019
3003,Bilkent-UNAMBG,Europe,Turkey,Therapeutics,Undergrad,14,Accepted,2019
3000,Bioriidl_Somaiya,Asia,India,Foundational Advance,Undergrad,10,Accepted,2019
3277,Bio_Without_Borders,North America,United States,High School,High_school,40,Accepted,2019
3020,BIT,Asia,China,Environment,Undergrad,34,Accepted,2019
2972,BIT-China,Asia,China,New Application,Undergrad,25,Accepted,2019
3120,BM-AMU,Asia,China,Foundational Advance,Undergrad,29,Accepted,2019
2950,BNDS_China,Asia,China,High School,High_school,19,Accepted,2019
3036,BNU-China,Asia,China,Therapeutics,Undergrad,29,Accepted,2019
3015,BOKU-Vienna,Europe,Austria,Diagnostics,Overgrad,24,Accepted,2019
2954,Bonn,Europe,Germany,Energy,Undergrad,24,Accepted,2019
3226,Botchan_Lab_Tokyo,Asia,Japan,Environment,Undergrad,22,Accepted,2019
3175,British_Columbia,North America,Canada,Food & Nutrition,Undergrad,21,Accepted,2019
3236,BrockU,North America,Canada,New Application,Undergrad,19,Accepted,2019
3260,BrownStanfordPrinctn,North America,United States,Manufacturing,Undergrad,16,Accepted,2019
3141,BSC_United,Asia,China,High School,High_school,16,Accepted,2019
3238,BUAP_Mexico,Latin America,Mexico,Environment,Undergrad,18,Accepted,2019
3197,BUCT-China,Asia,China,Environment,Overgrad,15,Accepted,2019
3208,Bulgaria,Europe,Bulgaria,Therapeutics,Undergrad,6,Accepted,2019
3114,Calgary,North America,Canada,Food & Nutrition,Undergrad,18,Accepted,2019
3220,Canterbury_Chch_NZ,Asia,New Zealand,Food & Nutrition,Undergrad,12,Accepted,2019
3279,CAU_China,Asia,China,Environment,Undergrad,17,Accepted,2019
3270,CCA_San_Diego,North America,United States,High School,High_school,13,Accepted,2019
2927,CCU_Taiwan,Asia,Taiwan,Diagnostics,Undergrad,29,Accepted,2019
3054,Chalmers-Gothenburg,Europe,Sweden,Environment,Overgrad,9,Accepted,2019
3214,CLS_CLSG_UK,Europe,United Kingdom,High School,High_school,27,Withdrawn,2019
2961,CMUQ,Asia,Qatar,Diagnostics,Undergrad,13,Accepted,2019
2944,Concordia-Montreal,North America,Canada,Diagnostics,Overgrad,19,Accepted,2019
2960,Cornell,North America,United States,Environment,Undergrad,21,Accepted,2019
2978,Costa_Rica,Latin America,Costa Rica,Therapeutics,Undergrad,16,Accepted,2019
2976,CPU_CHINA,Asia,China,Therapeutics,Undergrad,21,Accepted,2019
3276,CSL_Pittsburgh,North America,United States,High School,High_school,8,Accepted,2019
2951,CSMU_Taiwan,Asia,Taiwan,Diagnostics,Undergrad,25,Accepted,2019
2908,CSU_CHINA,Asia,China,Therapeutics,Undergrad,25,Accepted,2019
3083,CSU_Fort_Collins,North America,United States,Therapeutics,Undergrad,11,Accepted,2019
3144,CU,Africa,Egypt,Environment,Undergrad,12,Accepted,2019
3115,CU-Boulder,North America,United States,Therapeutics,Undergrad,7,Accepted,2019
3130,DNHS_SanDiego,North America,United States,High School,High_school,12,Accepted,2019
3046,DTU-Denmark,Europe,Denmark,Foundational Advance,Overgrad,13,Accepted,2019
2924,Duesseldorf,Europe,Germany,Food & Nutrition,Overgrad,17,Accepted,2019
3060,DUT_China_A,Asia,China,New Application,Undergrad,18,Accepted,2019
3061,DUT_China_B,Asia,China,New Application,Undergrad,20,Accepted,2019
3004,East_Chapel_Hill_HS,North America,United States,High School,High_school,14,Accepted,2019
3093,ECUST_China,Asia,China,Manufacturing,Undergrad,21,Accepted,2019
2940,Edinburgh_OG,Europe,United Kingdom,Environment,Overgrad,12,Accepted,2019
2952,Edinburgh_UG,Europe,United Kingdom,Energy,Undergrad,13,Accepted,2019
2916,EPFL,Europe,Switzerland,Environment,Overgrad,14,Accepted,2019
3211,ETH_Zurich,Europe,Switzerland,Therapeutics,Overgrad,12,Accepted,2019
2983,Evry_Paris-Saclay,Europe,France,Manufacturing,Overgrad,16,Accepted,2019
3039,Exeter,Europe,United Kingdom,Environment,Overgrad,17,Accepted,2019
2935,FAFU-CHINA,Asia,China,Energy,Undergrad,16,Accepted,2019
3117,FAU_Erlangen,Europe,Germany,Foundational Advance,Overgrad,30,Accepted,2019
3082,FDR-HB_Peru,Latin America,Peru,High School,High_school,24,Accepted,2019
3086,Florida,North America,United States,Foundational Advance,Undergrad,11,Accepted,2019
3009,Freiburg,Europe,Germany,Foundational Advance,Overgrad,22,Accepted,2019
3172,FSU,North America,United States,Environment,Undergrad,21,Accepted,2019
3245,Fudan,Asia,China,Therapeutics,Undergrad,16,Accepted,2019
3257,Fudan-TSI,Asia,China,Foundational Advance,Undergrad,11,Accepted,2019
2994,Gaston_Day_School,North America,United States,Environment,Undergrad,9,Accepted,2019
2947,GDSYZX,Asia,China,High School,High_school,31,Accepted,2019
3254,GENAS_China,Asia,China,High School,High_school,21,Accepted,2019
3042,Georgia_State,North America,United States,Environment,Undergrad,20,Accepted,2019
3222,GIFU_TOKAI,Asia,Japan,Foundational Advance,Undergrad,26,Accepted,2019
3027,GO_Paris-Saclay,Europe,France,Foundational Advance,Overgrad,21,Accepted,2019
